siteId,col,row
ecoli-1,2840,8148
ecoli-10,3396,8506
ecoli-11,2946,8204
ecoli-12,2797,7883
ecoli-2,2758,7579
ecoli-3,2801,7813
ecoli-4,2966,8320
ecoli-5,2960,8311
ecoli-6,2748,7675
ecoli-7,2975,8280
ecoli-8,2989,8347
ecoli-9,2958,8306
elkhart-1,5854,10975
elkhart-10,6583,10059
elkhart-11,6304,9220
elkhart-12,5261,8182
elkhart-14,5929,8877
elkhart-15,5416,9059
elkhart-16,5790,7638
elkhart-17,5798,7642
elkhart-18,5808,7683
elkhart-19,5498,9091
elkhart-2,5194,8019
elkhart-20,5338,9140
elkhart-21,6962,9711
elkhart-22,5666,9281
elkhart-23,5886,9054
elkhart-24,5503,9270
elkhart-25,5960,8153
elkhart-26,6089,8484
elkhart-27,6413,8638
elkhart-28,6650,8717
elkhart-29,5892,8131
elkhart-3,5133,7617
elkhart-30,5576,7742
elkhart-31,6304,9163
elkhart-32,7262,9174
elkhart-33,6844,9350
elkhart-34,6607,9354
elkhart-35,5756,9055
elkhart-36,5734,8895
elkhart-37,5312,7523
elkhart-38,5464,7464
elkhart-39,5232,7518
elkhart-4,4543,7666
elkhart-40,7128,10349
elkhart-41,7390,10700
elkhart-42,4519,8280
elkhart-43,6560,7775
elkhart-44,5953,7965
elkhart-45,5310,8123
elkhart-46,5227,8135
elkhart-47,5841,9958
elkhart-48,6161,10050
elkhart-49,6016,10939
elkhart-5,5846,10341
elkhart-50,6381,10574
elkhart-52,5719,10171
elkhart-53,5520,9941
elkhart-54,5442,9781
elkhart-55,5596,8494
elkhart-56,5634,9374
elkhart-57,5650,8749
elkhart-58,6283,10044
elkhart-59,5701,10089
elkhart-6,6169,10400
elkhart-60,6161,7943
elkhart-61,5709,10113
elkhart-62,4827,8798
elkhart-63,6813,10247
elkhart-64,6368,10251
elkhart-65,7297,7910
elkhart-7,5730,8491
elkhart-8,6418,9777
elkhart-9,7778,10173
elkhart-66,5205,10642
elkhart-67,6419,8640
fish-1,2685,8895
fish-10,5200,8030
fish-11,5263,8100
fish-12,5148,7772
fish-13,5132,7609
fish-14,5279,8103
fish-15,5286,8108
fish-16,5211,8098
fish-17,4584,8102
fish-18,4558,7461
fish-19,4585,7785
fish-2,4714,9634
fish-20,4598,7941
fish-21,4651,8203
fish-22,4585,7131
fish-23,4550,7305
fish-24,4524,6773
fish-25,4644,7788
fish-26,5359,8150
fish-27,5365,8235
fish-28,5497,8410
fish-29,5730,8508
fish-3,4832,8802
fish-30,5500,8369
fish-31,5383,8287
fish-32,5860,8824
fish-33,5862,8881
fish-34,5834,8729
fish-35,6360,9380
fish-36,6381,9422
fish-37,6420,9878
fish-38,5473,8307
fish-39,3992,8640
fish-4,4525,8553
fish-40,3897,8489
fish-41,4452,7465
fish-42,4468,7944
fish-43,4423,7313
fish-44,3483,8050
fish-45,2845,7758
fish-46,3087,7881
fish-47,2968,7840
